Employee ID,Full Name,Job Title,Department,Employment Status,Hire Date,Work Email,Contact Number,Annual Salary,Hourly Rate,Pay Frequency,Bank Account,Overtime Hours,Bonuses,Deductions,PTO Balance
E001,Gina Cook,Cytogeneticist,Marketing,Part-time,5/21/22,gina.cook@company.com,361.842.6967x8615,N/A,$32/hour,Weekly,XXXX-XXXX-XXXX-9983,14,"$9,533 ",401(k) 5%,7
E002,Emily Rivas,Photographer,IT,Part-time,5/10/24,emily.rivas@company.com,-10167,N/A,$21/hour,Monthly,XXXX-XXXX-XXXX-6741,17,"$8,585 ",Health Insurance ($200),4
E003,Tommy Alexander,"Psychologist, educational",Marketing,Full-time,12/10/24,tommy.alexander@company.com,454.867.3212x398,"$66,376 ",N/A,Monthly,XXXX-XXXX-XXXX-2864,3,$0 ,Health Insurance ($200),11
E004,Jennifer Vega,Secretary/administrator,IT,Contractor,9/19/20,jennifer.vega@company.com,(853)732-7959x9859,"$45,316 ",N/A,Weekly,XXXX-XXXX-XXXX-5170,0,$0 ,Health Insurance ($200),4
E005,Sheila Holmes,"Social research officer, government",HR,Part-time,3/19/22,sheila.holmes@company.com,001-820-767-4709x5058,N/A,$15/hour,Bi-weekly,XXXX-XXXX-XXXX-7292,11,"$2,759 ",None,6
E006,Ryan Frederick,Insurance risk surveyor,Analytics,Part-time,1/19/21,ryan.frederick@company.com,(325)512-8671x28758,N/A,$27/hour,Weekly,XXXX-XXXX-XXXX-8738,11,$0 ,Health Insurance ($200),9
E007,William Gomez,Graphic designer,IT,Full-time,5/10/21,william.gomez@company.com,511-596-9464x54349,"$95,898 ",N/A,Bi-weekly,XXXX-XXXX-XXXX-4058,17,$0 ,None,2
E008,Sheri Thomas,"Editor, magazine features",HR,Full-time,6/21/24,sheri.thomas@company.com,(649)669-6913x37886,"$81,431 ",N/A,Monthly,XXXX-XXXX-XXXX-5479,9,"$5,253 ",None,17
E009,Jeffrey Williams,Records manager,Analytics,Contractor,7/22/22,jeffrey.williams@company.com,314-708-5422,"$115,865 ",N/A,Weekly,XXXX-XXXX-XXXX-4592,11,$0 ,Health Insurance ($200),0
E010,Patrick English,Broadcast journalist,Analytics,Contractor,2/4/21,patrick.english@company.com,820-512-9328x3864,"$70,898 ",N/A,Bi-weekly,XXXX-XXXX-XXXX-3071,13,$0 ,401(k) 5%,19
E011,Emma Williams,Careers information officer,Analytics,Full-time,11/8/21,emma.williams@company.com,+1-814-500-2742x5939,"$108,953 ",N/A,Weekly,XXXX-XXXX-XXXX-6519,4,$0 ,None,5
E012,Marie Woods,Immigration officer,Analytics,Part-time,7/10/23,marie.woods@company.com,+1-800-527-3147x190,N/A,$27/hour,Weekly,XXXX-XXXX-XXXX-1640,13,$0 ,Health Insurance ($200),20
E013,Emily Perkins,Camera operator,Analytics,Full-time,11/13/23,emily.perkins@company.com,001-765-560-7142x1802,"$110,810 ",N/A,Monthly,XXXX-XXXX-XXXX-2056,17,"$2,776 ",Health Insurance ($200),15
E014,Ebony Schneider,Set designer,Marketing,Contractor,7/26/24,ebony.schneider@company.com,517-539-4510,"$109,360 ",N/A,Weekly,XXXX-XXXX-XXXX-5283,5,"$7,740 ",None,13
E015,Jamie Garcia,Furniture designer,IT,Full-time,8/9/20,jamie.garcia@company.com,001-706-307-8355x57119,"$55,499 ",N/A,Weekly,XXXX-XXXX-XXXX-6191,8,$0 ,401(k) 5%,6
E016,Paul Powers,"Investment banker, corporate",Marketing,Full-time,10/18/23,paul.powers@company.com,858-291-0196,"$100,552 ",N/A,Bi-weekly,XXXX-XXXX-XXXX-919,1,$0 ,Health Insurance ($200),17
E017,Kathy Tran,Speech and language therapist,Analytics,Full-time,2/18/24,kathy.tran@company.com,(805)378-5493,"$49,089 ",N/A,Weekly,XXXX-XXXX-XXXX-6221,5,"$4,647 ",None,18
E018,Kevin Potter,Geochemist,IT,Contractor,3/27/23,kevin.potter@company.com,432.222.7548x1384,"$105,125 ",N/A,Weekly,XXXX-XXXX-XXXX-9644,3,"$5,457 ",401(k) 5%,4
E019,Andrew Tran,"Conservator, museum/gallery",HR,Full-time,12/16/23,andrew.tran@company.com,867-693-9158,"$58,240 ",N/A,Bi-weekly,XXXX-XXXX-XXXX-7319,0,$0 ,None,17
E020,Lori Moreno,"Accountant, chartered",IT,Part-time,12/14/24,lori.moreno@company.com,-1717,N/A,$18/hour,Weekly,XXXX-XXXX-XXXX-8080,15,$0 ,401(k) 5%,13
E021,Daniel Willis,Surgeon,Finance,Contractor,5/25/22,daniel.willis@company.com,(800)776-9027x86642,"$112,518 ",N/A,Bi-weekly,XXXX-XXXX-XXXX-7187,18,$0 ,401(k) 5%,3
E022,Mr. Gerald Mathis II,Psychiatrist,Analytics,Part-time,3/28/21,mr..gerald.mathis.ii@company.com,7242791883,N/A,$16/hour,Weekly,XXXX-XXXX-XXXX-870,1,"$6,314 ",None,19
