Employee_ID,Employee_Name,Department,Role,Base_Salary,Overtime_Hours,Overtime_Pay,Bonuses,Deductions,Net_Pay
1,Employee_91,Customer Support,Customer Success Manager,79653.82,0.59,33.89,13010.86,6620.85,86077.72
2,Employee_119,Sales,Sales Executive,107203.35,0.31,23.97,11674.04,11738.41,107162.95
3,Employee_427,Finance,Financial Analyst,90322.13,17.47,1137.93,5260.45,8652.51,88068.0
4,Employee_144,Sales,Sales Executive,91813.2,13.76,911.07,14361.76,5056.33,102029.7
5,Employee_343,Product,UI/UX Designer,99650.03,5.17,371.53,10234.46,6958.5,103297.52
6,Employee_174,Finance,Accountant,66142.72,1.39,66.3,10226.69,4672.82,71762.89
7,Employee_95,Marketing,Marketing Manager,93792.09,18.59,1257.4,5410.15,11329.74,89129.9
8,Employee_209,Product,UI/UX Designer,110534.91,16.26,1296.13,14687.58,12476.66,114041.96
9,Employee_486,Customer Support,Customer Success Manager,78812.07,14.15,804.22,2760.04,7901.87,74474.46
10,Employee_250,Product,Product Manager,143485.43,1.45,150.04,8124.35,20593.07,131166.75
11,Employee_487,Sales,Sales Executive,78776.28,5.06,287.46,11800.72,6726.48,84137.98
12,Employee_93,Engineering,Software Engineer,119764.99,19.42,1677.29,4643.87,14054.78,112031.37
13,Employee_450,Finance,Financial Analyst,72120.55,6.25,325.06,1666.21,10478.79,63633.03
14,Employee_69,Finance,Accountant,79215.71,17.37,992.29,2396.93,7712.1,74892.83
15,Employee_25,HR,Recruiter,69642.3,2.76,138.61,10993.9,9845.03,70929.78
16,Employee_478,Sales,Account Manager,101398.85,0.91,66.54,2029.66,8737.87,94757.18
17,Employee_385,Finance,Accountant,70656.37,14.29,728.13,9032.28,5025.05,75391.73
18,Employee_322,Finance,Accountant,78255.69,4.8,270.89,11750.53,9403.11,80874.0
19,Employee_269,HR,HR Manager,72400.4,15.45,806.67,7997.05,7360.85,73843.27
20,Employee_65,HR,HR Manager,91997.17,6.54,433.89,6959.82,8790.75,90600.13
21,Employee_302,Sales,Sales Executive,81256.53,19.7,1154.39,1050.85,7187.84,76273.93
22,Employee_301,Customer Support,Customer Success Manager,69794.28,7.69,387.06,5046.4,4490.36,70737.38
23,Employee_464,Sales,Account Manager,77963.26,11.3,635.33,14922.12,7865.53,85655.18
24,Employee_272,Customer Support,Support Specialist,55422.76,0.23,9.19,7960.41,2873.7,60518.66
25,Employee_293,Customer Support,Support Specialist,59459.26,1.49,63.89,6743.97,3965.58,62301.54
26,Employee_52,Sales,Sales Executive,71454.59,14.57,750.79,6172.0,7658.1,70719.28
27,Employee_94,Sales,Sales Executive,94959.67,7.97,545.79,18012.77,13332.89,100185.34
28,Employee_365,Marketing,SEO Specialist,67548.02,5.04,245.51,11732.06,4521.65,75003.94
29,Employee_117,Finance,Financial Analyst,83711.44,0.99,59.77,16265.8,6704.61,93332.4
30,Employee_388,Customer Support,Customer Success Manager,69913.65,9.8,494.1,1890.62,9935.33,62363.04
